name,id,cmc,type,subtype,text,power,toughness
Stromgald Crusader,511,2,Creature,ZombieKnight,Protection from white {B}: Stromgald Crusader gains flying until end of turn. {B}{B}: Stromgald Crusader gets +1/+0 until end of turn.,2,1
Sleight of Hand,512,1,Sorcery,None,Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.,-999,-999
Clear a Path,513,1,Sorcery,None,Destroy target creature with defender.,-999,-999
Fallow Earth,514,3,Sorcery,None,Put target land on top of its owner's library.,-999,-999
Darksteel Mutation,515,2,Enchantment,Aura,"Enchant creature Enchanted creature is an Insect artifact creature with base power and toughness 0/1 and has indestructible, and it loses all other abilities, card types, and creature types.",-999,-999
Utvara Hellkite,516,8,Creature,Dragon,"Flying Whenever a Dragon you control attacks, create a 6/6 red Dragon creature token with flying.",6,6
Tar Pit Warrior,517,3,Creature,CyclopsWarrior,"When Tar Pit Warrior becomes the target of a spell or ability, sacrifice it.",3,4
Irreverent Revelers,518,3,Creature,Satyr,"When Irreverent Revelers enters the battlefield, choose one — • Destroy target artifact. • Irreverent Revelers gains haste until end of turn.",2,2
Deathrender,519,4,Artifact,Equipment,"Equipped creature gets +2/+2. Whenever equipped creature dies, you may put a creature card from your hand onto the battlefield and attach Deathrender to it. Equip {2}",-999,-999
Illusionary Mask,520,2,Artifact,None,"{X}: You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on {X}. If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate this ability only any time you could cast a sorcery.",-999,-999
Isleback Spawn,521,7,Creature,Kraken,Shroud (This creature can't be the target of spells or abilities.) Isleback Spawn gets +4/+8 as long as a library has twenty or fewer cards in it.,4,8
Angelic Shield,522,2,Enchantment,None,Creatures you control get +0/+1. Sacrifice Angelic Shield: Return target creature to its owner's hand.,-999,-999
Silent Assassin,523,2,Creature,HumanMercenaryAssassin,{3}{B}: Destroy target blocking creature at end of combat.,2,1
Natural End,524,3,Instant,None,Destroy target artifact or enchantment. You gain 3 life.,-999,-999
Akoum Hellkite,525,6,Creature,Dragon,"Flying Landfall — Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to any target. If that land is a Mountain, Akoum Hellkite deals 2 damage instead.",4,4
Viseling,526,4,ArtifactCreature,Construct,"At the beginning of each opponent's upkeep, Viseling deals X damage to that player, where X is the number of cards in their hand minus 4.",2,2
Ramosian Commander,527,4,Creature,HumanRebel,"{6}, {T}: Search your library for a Rebel permanent card with converted mana cost 5 or less and put it onto the battlefield. Then shuffle your library.",2,4
Back to Basics,528,3,Enchantment,None,Nonbasic lands don't untap during their controllers' untap steps.,-999,-999
Humming-,529,0,Creature,Bird,"Flying Whenever you attack with two or more creatures, Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",2,3
Redcap Raiders,530,3,Creature,GoblinWarrior,"Whenever Redcap Raiders attacks, you may tap an untapped non-Human creature you control. If you do, Redcap Raiders gets +1/+1 and gains trample until end of turn.",3,2
Colossification,531,7,Enchantment,Aura,"Enchant creature When Colossification enters the battlefield, tap enchanted creature. Enchanted creature gets +20/+20.",-999,-999
Flaming Sword,532,2,Enchantment,Aura,Flash Enchant creature Enchanted creature gets +1/+0 and has first strike.,-999,-999
Unruly Mob,533,2,Creature,Human,"Whenever another creature you control dies, put a +1/+1 counter on Unruly Mob.",1,1
Wastes,534,0,Basic Land,None,{T}: Add {C}.,-999,-999
Bring Down,535,4,Sorcery,None,Assist (Another player can pay up to {3} of this spell's cost.) Destroy target creature with power 4 or greater.,-999,-999
Ghirapur Aether Grid,536,3,Enchantment,None,Tap two untapped artifacts you control: Ghirapur Aether Grid deals 1 damage to any target.,-999,-999
Volcanic Offering,537,5,Instant,None,Destroy target nonbasic land you don't control and target nonbasic land of an opponent's choice you don't control. Volcanic Offering deals 7 damage to target creature you don't control and 7 damage to target creature of an opponent's choice you don't control.,-999,-999
Defiant Stand,538,2,Instant,None,Cast this spell only during the declare attackers step and only if you've been attacked this step. Target creature gets +1/+3 until end of turn. Untap that creature.,-999,-999
"Elspeth, Sun's Champion",539,6,LegendaryPlaneswalker,Elspeth,"+1: Create three 1/1 white Soldier creature tokens. −3: Destroy all creatures with power 4 or greater. −7: You get an emblem with ""Creatures you control get +2/+2 and have flying.""",-999,-999
Roost of Drakes,540,1,Enchantment,None,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.) When Roost of Drakes enters the battlefield, if it was kicked, create a 2/2 blue Drake creature token with flying. Whenever you cast a kicked spell, create a 2/2 blue Drake creature token with flying.",-999,-999
"Nicol Bolas, Planeswalker",541,8,LegendaryPlaneswalker,Bolas,"+3: Destroy target noncreature permanent. −2: Gain control of target creature. −9: Nicol Bolas, Planeswalker deals 7 damage to target player or planeswalker. That player or that planeswalker's controller discards seven cards, then sacrifices seven permanents.",-999,-999
Flame Jab,542,1,Sorcery,None,Flame Jab deals 1 damage to any target. Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),-999,-999
Feline Sovereign,543,3,Creature,Cat,"Other Cats you control get +1/+1 and have protection from Dogs. Whenever one or more Cats you control deal combat damage to a player, destroy up to one target artifact or enchantment that player controls.",2,3
Tawnos's Coffin,544,4,Artifact,None,"You may choose not to untap Tawnos's Coffin during your untap step. {3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return that exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the other exiled cards to the battlefield under their owner's control attached to that permanent.",-999,-999
Every Dream a Nightmare,545,0,Scheme,None,"When you set this scheme in motion, each opponent discards a card. You draw a card for each land card discarded this way.",-999,-999
Revenant,546,5,Creature,Spirit,Flying Revenant's power and toughness are each equal to the number of creature cards in your graveyard.,*,*
Mind Raker,547,4,Creature,EldraziProcessor,"Devoid (This card has no color.) When Mind Raker enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, each opponent discards a card.",3,3
"Karn, Scion of Urza",548,4,LegendaryPlaneswalker,Karn,"+1: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it. −1: Put a card you own with a silver counter on it from exile into your hand. −2: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control.""",-999,-999
Awaken the Sky Tyrant,549,4,Enchantment,None,"When a source an opponent controls deals damage to you, sacrifice Awaken the Sky Tyrant. If you do, create a 5/5 red Dragon creature token with flying.",-999,-999
Unstable Obelisk,550,3,Artifact,None,"{T}: Add {C}. {7}, {T}, Sacrifice Unstable Obelisk: Destroy target permanent.",-999,-999
Surging Aether,551,4,Instant,None,"Ripple 4 (When you cast this spell, you may reveal the top four cards of your library. You may cast spells with the same name as this spell from among those cards without paying their mana costs. Put the rest on the bottom of your library.) Return target permanent to its owner's hand.",-999,-999
Fiend Binder,552,4,Creature,HumanSoldier,"Whenever Fiend Binder attacks, tap target creature defending player controls.",3,2
"Drakuseth, Maw of Flames",553,7,LegendaryCreature,Dragon,"Flying Whenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.",7,7
Axebane Guardian,554,3,Creature,HumanDruid,"Defender {T}: Add X mana in any combination of colors, where X is the number of creatures with defender you control.",0,3
Goatnap,555,3,Sorcery,None,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If that creature is a Goat, it also gets +3/+0 until end of turn.",-999,-999
Howling Gale,556,2,Instant,None,Howling Gale deals 1 damage to each creature with flying and each player. Flashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.),-999,-999
Gallows Warden,557,5,Creature,Spirit,Flying Other Spirit creatures you control get +0/+1.,3,3
Goblin Bomb,558,2,Enchantment,None,"At the beginning of your upkeep, you may flip a coin. If you win the flip, put a fuse counter on Goblin Bomb. If you lose the flip, remove a fuse counter from Goblin Bomb. Remove five fuse counters from Goblin Bomb and sacrifice it: It deals 20 damage to target player or planeswalker.",-999,-999
Giant Oyster,559,4,Creature,Oyster,"You may choose not to untap Giant Oyster during your untap step. {T}: For as long as Giant Oyster remains tapped, target tapped creature doesn't untap during its controller's untap step, and at the beginning of each of your draw steps, put a -1/-1 counter on that creature. When Giant Oyster leaves the battlefield or becomes untapped, remove all -1/-1 counters from the creature.",0,3
"Nefarox, Overlord of Grixis",560,6,LegendaryCreature,Demon,"Flying Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) Whenever Nefarox, Overlord of Grixis attacks alone, defending player sacrifices a creature.",5,5
Eerie Interlude,561,3,Instant,None,Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.,-999,-999
Warbringer,562,4,Creature,OrcBerserker,"Dash costs you pay cost {2} less (as long as this creature is on the battlefield). Dash {2}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",3,3
Red Cliffs Armada,563,5,Creature,HumanSoldier,Red Cliffs Armada can't attack unless defending player controls an Island.,5,4
Rubblehulk,564,6,Creature,Elemental,"Rubblehulk's power and toughness are each equal to the number of lands you control. Bloodrush — {1}{R}{G}, Discard Rubblehulk: Target attacking creature gets +X/+X until end of turn, where X is the number of lands you control.",*,*
Soul Burn,565,3,Sorcery,None,"Spend only black and/or red mana on X. Soul Burn deals X damage to any target. You gain life equal to the damage dealt, but not more than the amount of {B} spent on X, the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness.",-999,-999
Wings of Aesthir,566,2,Enchantment,Aura,Enchant creature Enchanted creature gets +1/+0 and has flying and first strike.,-999,-999
Soulsworn Jury,567,3,Creature,Spirit,"Defender (This creature can't attack.) {1}{U}, Sacrifice Soulsworn Jury: Counter target creature spell.",1,4
Guardian of Tazeem,568,5,Creature,Sphinx,"Flying Landfall — Whenever a land enters the battlefield under your control, tap target creature an opponent controls. If that land is an Island, that creature doesn't untap during its controller's next untap step.",4,5
Puppet Conjurer,569,2,ArtifactCreature,HumanWizard,"{U}, {T}: Create a 0/1 blue Homunculus artifact creature token. At the beginning of your upkeep, sacrifice a Homunculus.",1,2
Scourge of the Throne,570,6,Creature,Dragon,"Flying Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.) Whenever Scourge of the Throne attacks for the first time each turn, if it's attacking the player with the most life or tied for most life, untap all attacking creatures. After this phase, there is an additional combat phase.",5,5
Rewards of Diversity,571,3,Enchantment,None,"Whenever an opponent casts a multicolored spell, you gain 4 life.",-999,-999
Horizon Boughs,572,0,Plane,Pyrulea,"All permanents untap during each player's untap step. Whenever you roll {CHAOS}, you may search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle your library.",-999,-999
Sky Tether,573,1,Enchantment,Aura,Enchant creature Enchanted creature has defender and loses flying.,-999,-999
"Dance, Pathetic Marionette",574,0,Scheme,None,"When you set this scheme in motion, each opponent reveals cards from the top of their library until they reveal a creature card. Choose one of the revealed creature cards and put it onto the battlefield under your control. Put all other cards revealed this way into their owners' graveyards.",-999,-999
Blood Glutton,575,5,Creature,Vampire,Lifelink (Damage dealt by this creature also causes you to gain that much life.),4,3
Soldevi Machinist,576,2,Creature,HumanWizardArtificer,{T}: Add {C}{C}. Spend this mana only to activate abilities of artifacts.,1,1
"Anya, Merciless Angel",577,5,LegendaryCreature,Angel,"Flying Anya, Merciless Angel gets +3/+3 for each opponent whose life total is less than half their starting life total. As long as an opponent's life total is less than half their starting life total, Anya has indestructible.",4,4
Drain Power,578,2,Sorcery,None,Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.,-999,-999
Rapid Hybridization,579,1,Instant,None,Destroy target creature. It can't be regenerated. That creature's controller creates a 3/3 green Frog Lizard creature token.,-999,-999
Lashwrithe,580,4,Artifact,Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Germ creature token, then attach this to it.) Equipped creature gets +1/+1 for each Swamp you control. Equip {B/P}{B/P} ({B/P} can be paid with either {B} or 2 life.)",-999,-999
Cabal Stronghold,581,0,Land,None,"{T}: Add {C}. {3}, {T}: Add {B} for each basic Swamp you control.",-999,-999
Battered Golem,582,3,ArtifactCreature,Golem,"Battered Golem doesn't untap during your untap step. Whenever an artifact enters the battlefield, you may untap Battered Golem.",3,2
Tattered Mummy,583,2,Creature,ZombieJackal,"When Tattered Mummy dies, each opponent loses 2 life.",1,2
Regisaur Alpha,584,5,Creature,Dinosaur,"Other Dinosaurs you control have haste. When Regisaur Alpha enters the battlefield, create a 3/3 green Dinosaur creature token with trample.",4,4
Mox Jet,585,0,Artifact,None,{T}: Add {B}.,-999,-999
Urborg Panther,586,3,Creature,NightstalkerCat,"{B}, Sacrifice Urborg Panther: Destroy target creature blocking Urborg Panther. Sacrifice a creature named Feral Shadow, a creature named Breathstealer, and Urborg Panther: Search your library for a card named Spirit of the Night and put that card onto the battlefield. Then shuffle your library.",2,2
Master Apothecary,587,3,Creature,HumanCleric,Tap an untapped Cleric you control: Prevent the next 2 damage that would be dealt to any target this turn.,2,2
Soldier // Soldier,588,0,TokenCreature,Soldier//TokenCreature,None,-999,-999
Sacrifice,589,1,Instant,None,"As an additional cost to cast this spell, sacrifice a creature. Add an amount of {B} equal to the sacrificed creature's converted mana cost.",-999,-999
Radiant Destiny,590,3,Enchantment,None,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) As Radiant Destiny enters the battlefield, choose a creature type. Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance.",-999,-999
Warped Researcher,591,5,Creature,HumanWizardMutant,"Whenever a player cycles a card, Warped Researcher gains flying and shroud until end of turn. (It can't be the target of spells or abilities.)",3,4
Shivan Hellkite,592,7,Creature,Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.) {1}{R}: Shivan Hellkite deals 1 damage to any target.,5,5
Beast Hunt,593,4,Sorcery,None,Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.,-999,-999
Avacyn's Pilgrim,594,1,Creature,HumanMonk,{T}: Add {W}.,1,1
Phantasmal Forces,595,4,Creature,Illusion,"Flying At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.",4,1
Trusty Retriever,596,4,Creature,Dog,"When Trusty Retriever enters the battlefield, choose one — • Put a +1/+1 counter on Trusty Retriever. • Return target artifact or enchantment card from your graveyard to your hand.",2,3
Bloodrock Cyclops,597,3,Creature,Cyclops,Bloodrock Cyclops attacks each combat if able.,3,3
Ravenous Intruder,598,2,Creature,Gremlin,Sacrifice an artifact: Ravenous Intruder gets +2/+2 until end of turn.,1,2
Thoughtcutter Agent,599,2,ArtifactCreature,HumanRogue,"{U}{B}, {T}: Target player loses 1 life and reveals their hand.",1,1
Knacksaw Clique,600,4,Creature,FaerieRogue,"Flying {1}{U}, {Q}: Target opponent exiles the top card of their library. Until end of turn, you may play that card. ({Q} is the untap symbol.)",1,4
Tithe Drinker,601,2,Creature,Vampire,"Lifelink (Damage dealt by this creature also causes you to gain that much life.) Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",2,1
Prying Eyes,602,6,Instant,None,"Draw four cards, then discard two cards.",-999,-999
Pale Wayfarer,603,7,Creature,SpiritGiant,"{2}{W}{W}, {Q}: Target creature gains protection from the color of its controller's choice until end of turn. ({Q} is the untap symbol.)",4,4
Tangle Kelp,604,1,Enchantment,Aura,"Enchant creature When Tangle Kelp enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step if it attacked during its controller's last turn.",-999,-999
Druid of Horns,605,4,Creature,HumanDruid,"Whenever you cast an Aura spell that targets Druid of Horns, create a 3/3 green Beast creature token.",2,3
Ashiok's Forerunner,606,5,Creature,HumanWizard,"Flash When Ashiok's Forerunner enters the battlefield, you may search your library and/or graveyard for a card named Ashiok, Sculptor of Fears, reveal it, and put it into your hand. If you search your library this way, shuffle it.",3,3
"Ormos, Archive Keeper",607,6,LegendaryCreature,Sphinx,"Flying If you would draw a card while your library has no cards in it, instead put five +1/+1 counters on Ormos, Archive Keeper. {1}{U}{U}, Discard three cards with different names: Draw five cards.",5,5
Consulate Surveillance,608,4,Enchantment,None,"When Consulate Surveillance enters the battlefield, you get {E}{E}{E}{E} (four energy counters). Pay {E}{E}: Prevent all damage that would be dealt to you this turn by a source of your choice.",-999,-999
Deadly Wanderings,609,5,Enchantment,None,"As long as you control exactly one creature, that creature gets +2/+0 and has deathtouch and lifelink.",-999,-999
Pharika's Cure,610,2,Instant,None,Pharika's Cure deals 2 damage to target creature and you gain 2 life.,-999,-999
Goblin Artillery,611,3,Creature,GoblinWarrior,{T}: Goblin Artillery deals 2 damage to any target and 3 damage to you.,1,3
Into Thin Air,612,6,Instant,None,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) Return target artifact to its owner's hand.,-999,-999
Muscle Sliver,613,2,Creature,Sliver,All Sliver creatures get +1/+1.,1,1
Dwarven Lieutenant,614,2,Creature,DwarfSoldier,{1}{R}: Target Dwarf creature gets +1/+0 until end of turn.,1,2
Tempt with Immortality,615,5,Sorcery,None,"Tempting offer — Return a creature card from your graveyard to the battlefield. Each opponent may return a creature card from their graveyard to the battlefield. For each opponent who does, return a creature card from your graveyard to the battlefield.",-999,-999
Void Snare,616,1,Sorcery,None,Return target nonland permanent to its owner's hand.,-999,-999
Pulsemage Advocate,617,3,Creature,HumanCleric,{T}: Return three target cards from an opponent's graveyard to their hand. Return target creature card from your graveyard to the battlefield.,1,3
Sultai Ascendancy,618,3,Enchantment,None,"At the beginning of your upkeep, look at the top two cards of your library. Put any number of them into your graveyard and the rest back on top of your library in any order.",-999,-999
Thought Courier,619,2,Creature,HumanWizard,"{T}: Draw a card, then discard a card.",1,1
Corpse Augur,620,4,Creature,ZombieWizard,"When Corpse Augur dies, you draw X cards and you lose X life, where X is the number of creature cards in target player's graveyard.",4,2
Mystic Decree,621,4,World Enchantment,None,All creatures lose flying and islandwalk.,-999,-999
Aetherstorm Roc,622,4,Creature,Bird,"Flying Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {E} (an energy counter). Whenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.",3,3
Genesis Ultimatum,623,7,Sorcery,None,Look at the top five cards of your library. Put any number of permanent cards from among them onto the battlefield and the rest into your hand. Exile Genesis Ultimatum.,-999,-999
Awaken the Erstwhile,624,5,Sorcery,None,"Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens.",-999,-999
Maelstrom Colossus,625,8,ArtifactCreature,Golem,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",7,7
Lumengrid Drake,626,4,Creature,Drake,"Flying Metalcraft — When Lumengrid Drake enters the battlefield, if you control three or more artifacts, return target creature to its owner's hand.",2,2
Goblin Lyre,627,3,Artifact,None,"Sacrifice Goblin Lyre: Flip a coin. If you win the flip, Goblin Lyre deals damage to target opponent or planeswalker equal to the number of creatures you control. If you lose the flip, Goblin Lyre deals damage to you equal to the number of creatures that opponent or that planeswalker's controller controls.",-999,-999
Youthful Scholar,628,4,Creature,HumanWizard,"When Youthful Scholar dies, draw two cards.",2,2
Sick and Tired,629,3,Instant,None,Two target creatures each get -1/-1 until end of turn.,-999,-999
Profound Journey,630,7,Sorcery,None,"Return target permanent card from your graveyard to the battlefield. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",-999,-999
Rakdos Drake,631,3,Creature,Drake,Flying Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.),1,2
Overload,632,1,Instant,None,"Kicker {2} (You may pay an additional {2} as you cast this spell.) Destroy target artifact if its converted mana cost is 2 or less. If this spell was kicked, destroy that artifact if its converted mana cost is 5 or less instead.",-999,-999
"Tatyova, Benthic Druid",633,5,LegendaryCreature,MerfolkDruid,"Whenever a land enters the battlefield under your control, you gain 1 life and draw a card.",3,3
Peppersmoke,634,1,TribalInstant,Faerie,"Target creature gets -1/-1 until end of turn. If you control a Faerie, draw a card.",-999,-999
Sideswipe,635,2,Instant,None,You may change any targets of target Arcane spell.,-999,-999
Slave of Bolas,636,5,Sorcery,None,Gain control of target creature. Untap that creature. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.,-999,-999
Sporoloth Ancient,637,5,Creature,Fungus,"At the beginning of your upkeep, put a spore counter on Sporoloth Ancient. Creatures you control have ""Remove two spore counters from this creature: Create a 1/1 green Saproling creature token.""",4,4
Pack's Favor,638,3,Instant,None,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Target creature gets +3/+3 until end of turn.,-999,-999
Yoked Plowbeast,639,7,Creature,Beast,"Cycling {2} ({2}, Discard this card: Draw a card.)",5,5
Interplanar Beacon,640,0,Land,None,"Whenever you cast a planeswalker spell, you gain 1 life. {T}: Add {C}. {1}, {T}: Add two mana of different colors. Spend this mana only to cast planeswalker spells.",-999,-999
Kithkin Shielddare,641,2,Creature,KithkinSoldier,"{W}, {T}: Target blocking creature gets +2/+2 until end of turn.",1,1
Pandemonium,642,4,Enchantment,None,"Whenever a creature enters the battlefield, that creature's controller may have it deal damage equal to its power to any target of their choice.",-999,-999
Proper Laboratory Attire,643,1,Artifact,Equipment,"Equipped creature gets +2/+1 and has protection from die rolls. (Nothing that lets a player roll a die can block, target, deal damage to, or attach to equipped creature.) Equip {2}",-999,-999
Flesh // Blood,644,7,Sorcery // Sorcery,None,None,-999,-999
Angel of Destiny // Angel of Destiny,645,0,Card // Card,None,None,-999,-999
Pegasus Refuge,646,4,Enchantment,None,"{2}, Discard a card: Create a 1/1 white Pegasus creature token with flying.",-999,-999
Zarichi Tiger,647,4,Creature,Cat,"{1}{W}, {T}: You gain 2 life.",2,3
"Sarkhan, Fireblood",648,3,LegendaryPlaneswalker,Sarkhan,"+1: You may discard a card. If you do, draw a card. +1: Add two mana in any combination of colors. Spend this mana only to cast Dragon spells. −7: Create four 5/5 red Dragon creature tokens with flying.",-999,-999
Rain of Rust,649,5,Instant,None,Choose one — • Destroy target artifact. • Destroy target land. Entwine {3}{R} (Choose both if you pay the entwine cost.),-999,-999
Scholar of Stars,650,4,Creature,HumanArtificer,"When Scholar of Stars enters the battlefield, if you control an artifact, draw a card.",3,2
Chorus of Might,652,4,Instant,None,"Until end of turn, target creature gets +1/+1 for each creature you control and gains trample.",-999,-999
Blinding Beam,653,3,Instant,None,Choose one — • Tap two target creatures. • Creatures don't untap during target player's next untap step. Entwine {1} (Choose both if you pay the entwine cost.),-999,-999
Fathom Feeder,654,2,Creature,EldraziDrone,"Devoid (This card has no color.) Deathtouch Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.) {3}{U}{B}: Draw a card. Each opponent exiles the top card of their library.",1,1
Skeleton Shard,655,3,Artifact,None,"{3}, {T} or {B}, {T}: Return target artifact creature card from your graveyard to your hand.",-999,-999
Subversion,656,5,Enchantment,None,"At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.",-999,-999
Cemetery Recruitment,657,2,Sorcery,None,"Return target creature card from your graveyard to your hand. If it's a Zombie card, draw a card.",-999,-999
"Etali, Primal Storm",658,6,LegendaryCreature,ElderDinosaur,"Whenever Etali, Primal Storm attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs.",6,6
Kolaghan Stormsinger,659,1,Creature,HumanShaman,"Haste Megamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.) When Kolaghan Stormsinger is turned face up, target creature gains haste until end of turn.",1,1
War Elemental,660,3,Creature,Elemental,"When War Elemental enters the battlefield, sacrifice it unless an opponent was dealt damage this turn. Whenever an opponent is dealt damage, put that many +1/+1 counters on War Elemental.",1,1
Trial of Zeal,661,3,Enchantment,None,"When Trial of Zeal enters the battlefield, it deals 3 damage to any target. When a Cartouche enters the battlefield under your control, return Trial of Zeal to its owner's hand.",-999,-999
Fountain of Cho,662,0,Land,None,"Fountain of Cho enters the battlefield tapped. {T}: Put a storage counter on Fountain of Cho. {T}, Remove any number of storage counters from Fountain of Cho: Add {W} for each storage counter removed this way.",-999,-999
Cosmotronic Wave,663,4,Sorcery,None,Cosmotronic Wave deals 1 damage to each creature your opponents control. Creatures your opponents control can't block this turn.,-999,-999
Worldly Counsel,664,2,Instant,None,"Domain — Look at the top X cards of your library, where X is the number of basic land types among lands you control. Put one of those cards into your hand and the rest on the bottom of your library in any order.",-999,-999
Rend Flesh,666,3,Instant,Arcane,Destroy target non-Spirit creature.,-999,-999
Chaos Warp,667,3,Instant,None,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield.",-999,-999
Grave Sifter,668,6,Creature,ElementalBeast,"When Grave Sifter enters the battlefield, each player chooses a creature type and returns any number of cards of that type from their graveyard to their hand.",5,7
Plunge into Darkness,669,2,Instant,None,"Choose one — • Sacrifice any number of creatures. You gain 3 life for each sacrificed creature. • Pay X life, then look at the top X cards of your library. Put one of those cards into your hand and exile the rest. Entwine {B} (Choose both if you pay the entwine cost.)",-999,-999
Lifeforce,670,2,Enchantment,None,{G}{G}: Counter target black spell.,-999,-999
Memory Bank,671,2,Sorcery,None,"Draw a card. Bank (If you cast Memory Bank from your hand, exile it until the end of the match. You may cast it from exile during another game this match. It still counts toward your deck minimum.)",-999,-999
Electrolyze,672,3,Instant,None,Electrolyze deals 2 damage divided as you choose among one or two targets. Draw a card.,-999,-999
Summoner's Bond,673,0,Conspiracy,None,"Double agenda (Start the game with this conspiracy face down in the command zone and secretly choose two different card names. You may turn this conspiracy face up any time and reveal those names.) Whenever you cast a creature spell with one of the chosen names, you may search your library for a creature card with the other chosen name, reveal it, put it into your hand, then shuffle your library.",-999,-999
Corridor Monitor,674,2,ArtifactCreature,Construct,"When Corridor Monitor enters the battlefield, untap target artifact or creature you control.",1,4
Kolaghan Forerunners,675,3,Creature,HumanBerserker,"Trample Kolaghan Forerunners's power is equal to the number of creatures you control. Dash {2}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",*,3
Frilled Oculus,676,2,Creature,Homunculus,{1}{G}: Frilled Oculus gets +2/+2 until end of turn. Activate this ability only once each turn.,1,3
Starke of Rath,677,3,LegendaryCreature,HumanRogue,{T}: Destroy target artifact or creature. That permanent's controller gains control of Starke of Rath. (This effect lasts indefinitely.),2,2
City's Blessing // Elemental,678,0,Card//TokenCreature,Elemental,None,-999,-999
Lace with Moonglove,679,3,Instant,None,Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy that creature.) Draw a card.,-999,-999
Dauthi Horror,680,2,Creature,DauthiHorror,Shadow (This creature can block or be blocked by only creatures with shadow.) Dauthi Horror can't be blocked by white creatures.,2,1
Circle of Protection: Shadow,681,2,Enchantment,None,"{1}: The next time a creature of your choice with shadow would deal damage to you this turn, prevent that damage.",-999,-999
Custodi Squire,682,5,Creature,SpiritCleric,"Flying Will of the council — When Custodi Squire enters the battlefield, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.",3,3
Gaze of Justice,683,1,Sorcery,None,"As an additional cost to cast this spell, tap three untapped white creatures you control. Exile target creature. Flashback {5}{W} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",-999,-999
